,antecedants,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
325,frozenset(['Radiance Renewal Whitening Mask - 50ml']),frozenset(['Resist Whitening Essence - 30 ml']),0.00932628970195,0.0193047674949,0.00169568903672,0.181818181818,9.4183046683,0.00151564718243,1.1986275064
326,frozenset(['Clear Acne Face Wash - 177 ml']),frozenset(['Clear Acne Body Spray 2% BHA (Salicylic Acid)']),0.0400443487902,0.0163047022761,0.00130437618209,0.0325732899023,1.99778501629,0.000651464997225,1.01681635152
327,frozenset(['Clear Acne Body Spray 2% BHA (Salicylic Acid)']),frozenset(['Clear Acne Face Wash - 177 ml']),0.0163047022761,0.0400443487902,0.00130437618209,0.08,1.99778501629,0.000651464997225,1.04343005566
328,frozenset(['Resist BHA 9 (Salicylic Acid) - 8.4 ml']),frozenset(['Skin Perfecting 2% BHA (Salicylic Acid) Liquid - 118 ml']),0.0220439574773,0.0895454249005,0.00215222070045,0.0976331360947,1.0903196473,0.000178285161652,1.00896277503
329,frozenset(['Skin Perfecting 2% BHA (Salicylic Acid) Liquid - 118 ml']),frozenset(['Resist BHA 9 (Salicylic Acid) - 8.4 ml']),0.0895454249005,0.0220439574773,0.00215222070045,0.0240349599417,1.0903196473,0.000178285161652,1.00204003461
330,frozenset(['Resist Super-Light Daily Wrinkle Defense SPF 30 - 60 ml']),frozenset(['Skin Balancing Invisible Finish Moisture Gel - 60 ml']),0.0329354985978,0.0336529054979,0.00130437618209,0.039603960396,1.17683628828,0.000196000960252,1.00619645922
331,frozenset(['Skin Balancing Invisible Finish Moisture Gel - 60 ml']),frozenset(['Resist Super-Light Daily Wrinkle Defense SPF 30 - 60 ml']),0.0336529054979,0.0329354985978,0.00130437618209,0.0387596899225,1.17683628828,0.000196000960252,1.00605903775
332,frozenset(['Resist 10% Niacinamide Booster - 20 ml']),frozenset(['Clinical 1% Retinol Treatment - 30 ml']),0.0488488880193,0.0234787712776,0.00202178308224,0.041388518024,1.76280596351,0.000874871213269,1.01868300879
333,frozenset(['Clinical 1% Retinol Treatment - 30 ml']),frozenset(['Resist 10% Niacinamide Booster - 20 ml']),0.0234787712776,0.0488488880193,0.00202178308224,0.0861111111111,1.76280596351,0.000874871213269,1.04077325323
334,frozenset(['Resist Perfectly Balanced Foaming Cleanser - 190 ml']),frozenset(['Resist Daily Pore-Refining Treatment 2% BHA (Salicylic Acid) - 88 ml']),0.0304571838518,0.0525011413292,0.00371747211896,0.122055674518,2.32481945017,0.00211843520507,1.07922430975
335,frozenset(['Resist Daily Pore-Refining Treatment 2% BHA (Salicylic Acid) - 88 ml']),frozenset(['Resist Perfectly Balanced Foaming Cleanser - 190 ml']),0.0525011413292,0.0304571838518,0.00371747211896,0.0708074534161,2.32481945017,0.00211843520507,1.04342508957
336,frozenset(['Resist Super-Light Daily Wrinkle Defense SPF 30 - 60 ml']),frozenset(['Clinical 1% Retinol Treatment - 30 ml']),0.0329354985978,0.0234787712776,0.00104350094567,0.0316831683168,1.34943894389,0.00027021590718,1.00847284357
337,frozenset(['Clinical 1% Retinol Treatment - 30 ml']),frozenset(['Resist Super-Light Daily Wrinkle Defense SPF 30 - 60 ml']),0.0234787712776,0.0329354985978,0.00104350094567,0.0444444444444,1.34943894389,0.00027021590718,1.01204424565
338,frozenset(['Resist C15 Super Booster - 20 ml']),frozenset(['Clinical 1% Retinol Treatment - 30 ml']),0.0560881758299,0.0234787712776,0.00202178308224,0.0360465116279,1.53528100775,0.000704901630551,1.0130377041
339,frozenset(['Clinical 1% Retinol Treatment - 30 ml']),frozenset(['Resist C15 Super Booster - 20 ml']),0.0234787712776,0.0560881758299,0.00202178308224,0.0861111111111,1.53528100775,0.000704901630551,1.03285184408
340,frozenset(['Resist C15 Super Booster - 20 ml']),frozenset(['Skin Balancing Pore-Reducing Toner - 190 ml']),0.0560881758299,0.0485227939738,0.00273918998239,0.0488372093023,1.00647974494,1.7634982231e-05,1.0003305589
341,frozenset(['Skin Balancing Pore-Reducing Toner - 190 ml']),frozenset(['Resist C15 Super Booster - 20 ml']),0.0485227939738,0.0560881758299,0.00273918998239,0.0564516129032,1.00647974494,1.7634982231e-05,1.00038518117
342,frozenset(['Resist Super-Light Daily Wrinkle Defense SPF 30 - 60 ml']),frozenset(['Skin Balancing Pore-Reducing Toner - 190 ml']),0.0329354985978,0.0485227939738,0.00176090784582,0.0534653465347,1.10186042798,0.000162785432938,1.0052217344
343,frozenset(['Skin Balancing Pore-Reducing Toner - 190 ml']),frozenset(['Resist Super-Light Daily Wrinkle Defense SPF 30 - 60 ml']),0.0485227939738,0.0329354985978,0.00176090784582,0.0362903225806,1.10186042798,0.000162785432938,1.00348115627
344,frozenset(['Resist 10% Niacinamide Booster - 20 ml']),frozenset(['Resist Whitening Essence - 30 ml']),0.0488488880193,0.0193047674949,0.00332615926433,0.068090787717,3.52714881103,0.00238314283873,1.05235061482
345,frozenset(['Resist Whitening Essence - 30 ml']),frozenset(['Resist 10% Niacinamide Booster - 20 ml']),0.0193047674949,0.0488488880193,0.00332615926433,0.172297297297,3.52714881103,0.00238314283873,1.14914583325
346,frozenset(['Resist Daily Pore-Refining Treatment 2% BHA (Salicylic Acid) - 30 ml']),frozenset(['Resist Anti-Aging Clear Skin Hydrator - 60 ml']),0.0198265179678,0.0296093393335,0.00104350094567,0.0526315789474,1.77753303965,0.000456450847364,1.02430125293
347,frozenset(['Resist Anti-Aging Clear Skin Hydrator - 60 ml']),frozenset(['Resist Daily Pore-Refining Treatment 2% BHA (Salicylic Acid) - 30 ml']),0.0296093393335,0.0198265179678,0.00104350094567,0.0352422907489,1.77753303965,0.000456450847364,1.01597890603
348,frozenset(['PC4Men Nighttime Repair - 50 ml']),frozenset(['PC4Men Soothe + Smooth Treatment 2% BHA (Salicylic Acid) - 88 ml']),0.00828278875628,0.00671753733777,0.0013695949912,0.165354330709,24.6153199297,0.00131395504846,1.19006483734
349,frozenset(['PC4Men Soothe + Smooth Treatment 2% BHA (Salicylic Acid) - 88 ml']),frozenset(['PC4Men Nighttime Repair - 50 ml']),0.00671753733777,0.00828278875628,0.0013695949912,0.203883495146,24.6153199297,0.00131395504846,1.24569357022
350,frozenset(['Resist Weightless Advanced Repairing Toner - 118 ml']),frozenset(['Resist Youth-Extending Daily Hydrating Fluid SPF 50 - 60 ml']),0.035544250962,0.0197612991587,0.00208700189135,0.0587155963303,2.97124171133,0.00138460131471,1.04138419485
351,frozenset(['Resist Youth-Extending Daily Hydrating Fluid SPF 50 - 60 ml']),frozenset(['Resist Weightless Advanced Repairing Toner - 118 ml']),0.0197612991587,0.035544250962,0.00208700189135,0.105610561056,2.97124171133,0.00138460131471,1.07833982273
352,frozenset(['Resist Ultra-Light Super Antioxidant Concentrate Serum - 30 ml']),frozenset(['Skin Balancing Invisible Finish Moisture Gel - 60 ml']),0.0157829518033,0.0336529054979,0.00123915737299,0.0785123966942,2.33300499712,0.000708015187471,1.04868160031
